Nom du client,Delivery_Method,Unique_Site_Identifier,Code IPACT,No de site,Nomdesite,Adresse,Suffixe,Rue,Ville,Postal code,Prov,In Territory,Access Type,Speed,NPANXX,Tier,Delivery Method,RFP Lot,SupplierName From Real Time,Package,Management Level,IPACT - MR COGS,IPACT - NR COGS,COGS(long),MRC inv. Oct '19,OLD MRC - Don't use,SC1,SC2-GL,SC2-PB,SC3-GL,SC3-PB,SC4,SC5-GL,SC5-PB,SC6-GL,SC6-PB,CMO GM,CMO+50% GM,CMO+50%,MRC for cost,MRC for 15% margin,Off-net Cat
Loto-Québec,,000000000003056317-0001,3056,317-0001,16997-STMAB-CE1,699,RTE,DE L'EGILISE,SAINT-JEAN-PORTJJOLI,G0R 3G0,QC,Non,DSL VPN,64 Kbps,418598,,,Lot4,TELUS Quebec,Enhanced,NetControl,75,225,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000045373-0002,4537,3-0002,14483-RMKI1-CE1,519,BOUL,PERRON,MARIA,G0C 1Y0,QC,Non,DSL VPN,64 Kbps,418759,,,Lot4,TELUS Quebec,Enhanced,NetControl,75,225,74.52,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,Off-Net (ReSale),0000000000045416-0001,4541,6-0001,13765-RMKI1-CE1,523,boul,Perron,Carleton,G0C 1J0,QC,Non,DSL VPN,64 Kbps,418364,,,#N/A,TELUS Quebec,Enhanced,NetControl,75,225,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000045604-0003,4560,4-0003,13617-STMAB-CE1,482,Rte,138,Donnacona,G3M 1C2,QC,Non,DSL VPN,64 Kbps,418285,,,Lot2,TELUS Quebec,Enhanced,NetControl,75,225,74.52,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000045595-0002,4559,5-0002,13232-STMAB-CE1,430,Rte,138,Donnacona,G3M1C2,QC,Non,DSL VPN,64 Kbps,418285,,,Lot2,TELUS Quebec,Enhanced,NetControl,75,225,74.52,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000045272-0003,4527,2-0003,11019-RMKI1-CE1,120,BOUT,PERRON OUEST,NEW-RICHMOND,G0C2B0,QC,Non,DSL VPN,64 Kbps,418392,,,Lot4,TELUS Quebec,Enhanced,NetControl,75,225,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000043266-0003,4326,6-0003,10855-STJEAN-CE1,156,AVENUE,16,VENISE-EN-QUÉBEC,J0J2K0,QC,Non,DDS,56 Kbps,450244,,,Lot3,Independent Settlements,High Performance,NetControl,,,-17.01,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,NA,NA,NA,CMO with more than 15% margin
Loto-Québec,Off-Net (ReSale),0000000000045415-0002,4541,5-0002,10619-RMKI1-CE1,686,BOUL,PERRON,CARLETON,G0C1J0,QC,Non,DSL VPN,64 Kbps,418364,,,Lot4,TELUS Quebec,Enhanced,NetControl,75,225,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000046135-0002,4613,5-0002,07868-STMAB-CE1,345,Côte,Joyeuse,St-Raymond,G3L4A8,QC,Non,DSL VPN,64 Kbps,418337,,,Lot2,TELUS Quebec,Enhanced,NetControl,75,225,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
Loto-Québec,,0000000000046134-0002,4613,4-0002,07866-STMAB-CE1,150,Av,St-Jacques,St-Raymond,G3L3Y5,QC,Non,DSL VPN,64 Kbps,418337,,,Lot2,TELUS Quebec,Enhanced,NetControl,,,75.55,92,92,138,405,587,275,405,138,405,587,275,405,1,NA,138,NA,NA,CMO with more than 15% margin
